"","Propname","Riverseg","DSimpound","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","l90_Qout","l90_Qout_base","l90_Qout_mif","SminL30mg_local","SminL30mg_upstream","SminL90mg_local","SminL90mg_upstream","WA_mgd_30","WA_mgd_90"
"1","T. Nelson Elliott Dam","PL0_5141_5140","0. Impoundment: Lake Manassas",11.903,0,1.829,0.674,0.607,5.749,5.06,4.554,3830.588,0,2971.413,0,128.476,43.334
"2","Jackson River","JU3_6380_6900","0. Impoundment: Lake Moomaw",3.578,0,0.696,1.335,1.201,4.146,6.596,5.936,0,0,0,0,-0.327,-1.157
"3","Back Creek","JU2_6810_6900","0. Impoundment: Lake Moomaw",0.009,0.009,9.838,3.424,3.082,12.877,6.855,6.17,0,0,0,0,4.368,4.336
"4","Back Creek","JU2_6600_6810","0. Impoundment: Lake Moomaw",0.009,0.009,9.811,3.378,3.041,12.679,6.67,6.003,0,0,0,0,4.376,4.316
"5","Little Back Creek","JU2_6602_6600","0. Impoundment: Lake Moomaw",0,0,1.999,1.5,1.35,2,1.5,1.35,32.584,0,32.584,0,1.506,0.782
"6","Back Creek - Bath County Lower Dam","JU1_6590_6600","0. Impoundment: Lake Moomaw",0.009,0,7.5,1.689,1.52,9.272,4.42,3.978,8664.431,11472.962,8664.431,11461.163,675.112,227.171
"7","Back Creek","JU1_6290_6590","0. Impoundment: Lake Moomaw",0,0,0.086,0.086,0.077,2.532,2.521,2.269,0,0,0,0,0.006,0.17
"8","Bath County Pump Store - Upper","JU1_6591_6590","0. Impoundment: Lake Moomaw",0,0,2,1.5,1.35,2,1.5,1.35,11472.962,0,11461.163,0,382.852,127.898
"9","Gathright Dam","JU3_6900_6950","0. Impoundment: Lake Moomaw",3.568,3.626,80,6.293,5.663,82.792,16.067,14.46,23323.565,0,23323.565,0,825.504,303.321
"10","West Creek (Deep Creek, Appomattox)","JA2_7570_7480","0. Impoundment - Lake Chesdin",0.325,0.004,1.387,1.387,1.248,9.394,6.86,6.174,0,0,0,0,0.09,2.081
"11","West Creek (Deep Creek, Appommattox)","JA1_7600_7570","0. Impoundment - Lake Chesdin",0.325,0,1.08,1.086,0.978,7.412,5.297,4.767,0,0,0,0,0.066,1.709
"12","Appomatox River","JA4_7470_7480","0. Impoundment - Lake Chesdin",1.7,1.167,14.912,15.699,14.129,50.767,44.798,40.318,0,0,0,0,0.506,6.754
"13","Flat Creek","JA2_7410_7470","0. Impoundment - Lake Chesdin",0,0,0.969,0.97,0.873,6.168,4.671,4.204,0,0,0,0,0.062,1.269
"14","Appomatox River","JA4_7340_7470","0. Impoundment - Lake Chesdin",1.636,1.167,13.433,14.303,12.873,42.916,38.207,34.387,0,0,0,0,0.362,5.514
"15","Appomatox River","JA4_7280_7340","0. Impoundment - Lake Chesdin",1.636,0.97,12.999,26.101,23.491,42.049,86.053,77.447,0,0,0,0,-6.782,-22.882
"16","Bush River","JA1_7640_7280","0. Impoundment - Lake Chesdin",0.061,0,2.539,2.015,1.813,8.256,6.016,5.414,0,0,0,0,0.469,1.837
"17","Appomatox River above Farmville VA","JA2_7550_7280","0. Impoundment - Lake Chesdin",1.314,0,4.7,6.671,6.004,18.761,17.32,15.588,0,0,0,0,-0.843,2.051
"18","George F. Brasfield Dam","JA5_7480_0001","0. Impoundment - Lake Chesdin",35.789,1.171,18.408,18.901,17.011,54.053,57.124,51.411,6404.519,0,6404.519,0,214.387,72.869
"19","North Anna Dam","YP2_6390_6330","0. Lake Anna: Dominion Power",0.022,0,20,0,0,20,0,0,0,0,0,0,12.928,12.928
"20","Potomac River North Branch","PU2_4750_4451","Jennings Randolph Lake",0,0,7.326,7.311,6.58,20.249,20.251,18.226,0,0,0,0,0.483,1.308
"21","Potomac River North Branch","PU2_4720_4750","Jennings Randolph Lake",0,0,6.479,6.465,5.818,17.839,17.841,16.057,0,0,0,0,0.427,1.152
"22","Stony River","PU1_4760_4451","Jennings Randolph Lake",0,0,4.02,4.009,3.608,10.659,10.661,9.595,0,0,0,0,0.266,0.688
"23","Mt. Storm Power Station Dam/Stony River Dam","PU1_4840_4760","Jennings Randolph Lake",0,0,3.717,3.708,3.338,9.778,9.78,8.802,0,0,0,0,0.246,0.631
"24","Bloomington/Jennings Randolph","PU3_4451_4450","Jennings Randolph Lake",0,0,37.95,17.002,15.301,101.682,42.982,38.684,25855.269,0,25855.269,0,876.483,328.004
