"","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_local","SminL30mg_upstream","SminL90mg_local","SminL90mg_upstream","WA_mgd_30","WA_mgd_90"
"1","Bath County Pump Store - Upper","JU1_6591_6590",0,0,2,1.5,1.35,0.65,2,1.5,1.35,0.65,11472.962,0,11461.163,0,382.852,127.898
"2","Back Creek","JU1_6290_6590",0,0,0.086,0.086,0.077,0.009,2.532,2.521,2.269,0.263,0,0,0,0,0.006,0.17
"3","Back Creek - Bath County Lower Dam","JU1_6590_6600",0.009,0,7.5,1.689,1.52,5.98,9.272,4.42,3.978,5.294,8664.431,11472.962,8664.431,11461.163,675.112,227.171
"4","Little Back Creek","JU2_6602_6600",0,0,1.999,1.5,1.35,0.649,2,1.5,1.35,0.65,32.584,0,32.584,0,1.506,0.782
"5","Back Creek","JU2_6600_6810",0.009,0.009,9.811,3.378,3.041,6.77,12.679,6.67,6.003,6.677,0,0,0,0,4.376,4.316
"6","Back Creek","JU2_6810_6900",0.009,0.009,9.838,3.424,3.082,6.757,12.877,6.855,6.17,6.707,0,0,0,0,4.368,4.336
"7","Jackson River","JU3_6380_6900",3.578,0,0.696,1.335,1.201,-0.505,4.146,6.596,5.936,-1.79,0,0,0,0,-0.327,-1.157
"8","Gathright Dam","JU3_6900_6950",3.568,3.626,80,6.293,5.663,74.337,82.792,16.067,14.46,68.332,23323.565,20169.977,23323.565,20158.178,1497.837,527.432
"9","Jackson River","JU3_6950_7330",45.033,3.645,53.778,8.37,7.533,46.245,75.284,24.49,22.041,53.243,0,0,0,0,29.893,34.417
"10","Jackson River","JU4_7330_7000",45.033,40.935,146.109,16.287,14.659,131.45,167.911,43.791,39.412,128.499,0,0,0,0,84.971,83.063
"11","James River","JU4_7000_7300",48.853,43.267,167.841,27.618,24.856,142.985,206.621,74.146,66.731,139.89,0,0,0,0,92.427,90.426
